,0
763,"-118.20988999999999,33.925069"
764,"-118.247422,33.960149"
765,"-118.228619,34.500592"
766,"-118.161419,34.062159"
767,"-117.834878,34.00202"
768,"-118.136528,34.010426"
769,"-118.42990800000001,34.02685"
770,"-118.215352,33.825125"
771,"-118.260084,34.084203"
772,"-118.423629,34.425113"
773,"-118.479698,34.302757"
774,"-118.28908999999999,34.155477000000005"
775,"-118.034521,33.943994"
776,"-118.20753899999998,33.826551"
777,"-118.23111999999999,34.053208000000005"
778,"-117.800924,34.043642"
779,"-118.166211,34.036582"
780,"-118.205716,34.025475"
781,"-118.321198,34.25974"
782,"-118.36646999999999,34.222111"
783,"-118.469604,34.160073"
784,"-118.07333200000001,34.148519"
785,"-118.492347,34.165503"
786,"-118.346575,33.879199"
787,"-118.18945,33.916171999999996"
788,"-118.06431599999999,34.041208000000005"
789,"-118.282693,33.965045"
790,"-117.91157700000001,33.971515999999994"
791,"-118.18920800000001,33.817508000000004"
792,"-117.915255,33.967845000000004"
793,"-117.78439399999999,34.072748"
794,"-118.471048,34.139358"
795,"-118.27288600000001,34.042846999999995"
796,"-118.46771000000001,34.172117"
797,"-118.473991,34.186639"
798,"-118.41336100000001,34.031566"
799,"-118.249425,34.108675"
800,"-118.173134,33.814208"
801,"-118.30463700000001,33.945461"
802,"-118.31086499999999,34.154858000000004"
803,"-118.265603,34.112285"
804,"-118.277704,34.022215"
805,"-118.41706599999999,34.031896"
806,"-118.24533100000001,33.984771"
807,"-118.466447,34.072786"
808,"-118.074381,34.040797"
809,"-117.764219,34.023863"
810,"-118.178393,33.916684000000004"
811,"-118.503634,34.365210999999995"
812,"-118.469945,34.077319"
813,"-118.17393899999999,34.022701"
814,"-117.947973,33.997523"
815,"-118.446773,34.046958000000004"
816,"-117.946584,33.997429"
817,"-118.25998899999999,34.031121999999996"
818,"-117.994519,34.01522"
819,"-117.871677,34.000778000000004"
820,"-117.987545,34.033885"
821,"-118.28478600000001,33.872972"
822,"-118.096011,33.858358"
823,"-118.25428000000001,33.927917"
824,"-118.092254,33.845974"
825,"-118.081926,34.147911"
826,"-118.170308,33.949675"
827,"-118.175362,34.017165000000006"
828,"-118.280502,33.960014"
829,"-117.785647,34.057966"
830,"-118.286373,33.912321"
831,"-118.402973,34.229906"
832,"-118.16896499999999,33.910967"
833,"-118.140823,33.912908"
834,"-118.16987900000001,34.035528"
835,"-118.486575,34.310666"
836,"-118.193472,33.873477"
