,0
590,"34.135813,-117.191781"
591,"33.979504,-117.339343"
592,"34.316691999999996,-117.479754"
593,"33.909349,-117.55853300000001"
594,"33.687884000000004,-117.91454499999999"
595,"34.208967,-117.13465"
596,"33.940876,-117.261372"
597,"34.064601,-117.26104199999999"
598,"33.554215,-117.672747"
599,"33.847879999999996,-117.85611200000001"
600,"33.440441,-117.624857"
601,"33.596465,-117.76631499999999"
602,"33.442079,-117.627696"
603,"33.93869,-117.877179"
604,"33.653573,-117.395664"
605,"33.774246000000005,-118.071496"
606,"33.701722,-117.94561499999999"
607,"34.233174,-117.420194"
608,"33.68329,-117.62063"
609,"33.855438,-117.787002"
610,"33.519003999999995,-117.60026699999999"
611,"33.778888,-117.876772"
612,"33.778356,-117.89651599999999"
613,"33.562746000000004,-117.672794"
614,"33.722259,-117.719454"
615,"33.628176,-117.95248400000001"
616,"33.878512,-117.65798600000001"
617,"33.776996000000004,-117.831177"
618,"33.868977,-117.67605400000001"
619,"33.668009999999995,-117.650733"
620,"33.88565,-117.88065800000001"
621,"33.748998,-117.980944"
622,"34.244,-116.80888700000001"
623,"34.145474,-117.287797"
624,"33.741803000000004,-117.837534"
625,"33.70113,-115.45752399999999"
626,"33.700907,-115.458398"
627,"34.017208000000004,-117.096368"
628,"34.01612,-117.094576"
629,"34.174028,-116.71730900000001"
630,"34.234538,-117.18836599999999"
631,"33.837302,-117.533056"
632,"34.311899,-117.475233"
633,"33.703089,-117.951907"
634,"33.955933,-117.38068899999999"
635,"33.683601,-117.85935"
636,"34.222565,-117.40341799999999"
637,"34.205575,-117.108028"
638,"33.776976,-117.90016399999999"
639,"33.941957,-117.55540400000001"
640,"34.219413,-117.410751"
641,"33.882343,-117.370506"
642,"34.063708,-117.273779"
643,"34.173665,-116.717441"
644,"34.078362,-117.048701"
645,"34.270354,-116.84682600000001"
646,"33.74494,-117.104028"
647,"34.066583,-117.546299"
648,"34.066720000000004,-117.20856599999999"
649,"34.01636,-117.46218600000002"
650,"34.250504,-117.022373"
651,"34.139885,-117.302621"
652,"33.911048,-117.448379"
653,"34.141606,-117.317406"
654,"33.876305,-117.660643"
655,"33.829015999999996,-117.928242"
656,"34.159057000000004,-117.184428"
657,"34.039584999999995,-117.15373799999999"
658,"34.032745,-117.13736599999999"
659,"34.172112,-117.18146399999999"
660,"33.882314,-117.361776"
661,"33.998259999999995,-117.36941399999999"
662,"34.0118,-117.43403300000001"
663,"33.940994,-117.243761"
664,"34.077191,-117.55839499999999"
665,"34.217913,-117.078763"
666,"34.109268,-117.52833899999999"
667,"34.263212,-116.79073700000001"
668,"34.228375,-117.414552"
669,"34.139401,-117.492547"
670,"34.12792,-116.983244"
671,"34.135002,-117.62546"
672,"34.065924,-117.25418700000002"
673,"34.307719,-117.46977"
674,"34.146931,-117.253381"
675,"34.185927,-117.146901"
676,"34.229594,-117.222101"
677,"34.051114,-116.94856399999999"
678,"34.015246000000005,-117.086897"
679,"34.289704,-116.80468799999998"
680,"34.207427,-116.743926"
681,"34.194395,-116.720872"
682,"34.229908,-117.237249"
683,"34.238713,-116.832499"
684,"33.995706,-117.36269399999999"
685,"33.398275,-117.594806"
686,"33.774243,-118.03258799999999"
687,"33.751462,-117.97806200000001"
688,"33.869407,-117.750331"
689,"33.881565,-117.880298"
690,"33.87399,-117.879819"
691,"33.447347,-117.635323"
692,"33.842719,-117.954811"
693,"33.465522,-117.667442"
694,"34.077382,-117.20083000000001"
695,"33.866913000000004,-117.72343500000001"
696,"33.770475,-117.739065"
697,"33.611391999999995,-117.703422"
698,"33.856823,-118.028676"
699,"33.862774,-118.04343600000001"
700,"33.970794,-118.247658"
701,"34.303247999999996,-118.479759"
702,"34.068589,-118.15117099999999"
703,"34.323042,-118.47915"
704,"33.914398999999996,-118.230193"
705,"34.231708000000005,-118.404095"
706,"33.924817,-118.10420400000001"
707,"34.279088,-118.46964399999999"
708,"34.023952,-118.19228700000001"
709,"34.129715999999995,-117.933687"
710,"34.023934000000004,-118.180062"
711,"34.035234,-118.149801"
712,"34.1721,-118.388687"
713,"34.032979,-118.137447"
714,"34.033033,-118.13001200000001"
715,"34.035921,-118.09291699999999"
716,"34.035706,-118.031419"
717,"33.838155,-117.976122"
718,"33.876381,-118.102337"
719,"34.226744000000004,-118.38768799999998"
720,"34.017152,-118.482431"
721,"34.071825,-117.791634"
722,"34.024729,-118.239231"
723,"33.832433,-118.208924"
724,"34.021996,-118.14723799999999"
725,"33.894649,-118.32866499999999"
726,"34.000753,-117.844563"
727,"33.976707,-118.25203300000001"
728,"34.067442,-117.981897"
729,"33.790541999999995,-118.28191699999999"
730,"34.072272,-118.053628"
731,"34.073756,-117.752205"
732,"33.987424,-117.88931000000001"
733,"33.929709,-118.368531"
734,"34.029385999999995,-118.225936"
735,"34.065261,-117.997874"
736,"34.054983,-118.25705900000001"
737,"34.02005,-118.18918300000001"
738,"34.660286,-118.15315700000001"
739,"34.049437,-118.264132"
740,"34.071958,-118.081919"
741,"34.072303000000005,-118.08178999999998"
742,"33.930896999999995,-118.364134"
743,"34.068483,-117.973942"
744,"34.004011,-117.83018899999999"
745,"34.126560999999995,-118.27318799999999"
746,"33.982366999999996,-118.28080600000001"
747,"34.052331,-118.25929599999999"
748,"34.033876,-118.385573"
749,"33.748521999999994,-118.265725"
750,"34.143275,-118.74026599999999"
751,"34.334539,-118.507928"
752,"34.540456,-118.658744"
753,"34.129129999999996,-118.073085"
754,"33.996426,-118.35815500000001"
755,"34.130266,-118.07325300000001"
756,"34.151994,-118.13235700000001"
757,"34.277901,-118.500575"
758,"34.082782,-118.227275"
759,"34.058312,-118.178656"
760,"34.354375,-118.384854"
761,"34.346005,-118.365918"
762,"33.747186,-118.30964099999998"
763,"33.925069,-118.20988999999999"
764,"33.960149,-118.247422"
765,"34.500592,-118.228619"
766,"34.062159,-118.161419"
767,"34.00202,-117.834878"
768,"34.010426,-118.136528"
769,"34.02685,-118.42990800000001"
770,"33.825125,-118.215352"
771,"34.084203,-118.260084"
772,"34.425113,-118.423629"
773,"34.302757,-118.479698"
774,"34.155477000000005,-118.28908999999999"
775,"33.943994,-118.034521"
776,"33.826551,-118.20753899999998"
777,"34.053208000000005,-118.23111999999999"
778,"34.043642,-117.800924"
779,"34.036582,-118.166211"
780,"34.025475,-118.205716"
781,"34.25974,-118.321198"
782,"34.222111,-118.36646999999999"
783,"34.160073,-118.469604"
784,"34.148519,-118.07333200000001"
785,"34.165503,-118.492347"
786,"33.879199,-118.346575"
787,"33.916171999999996,-118.18945"
788,"34.041208000000005,-118.06431599999999"
789,"33.965045,-118.282693"
790,"33.971515999999994,-117.91157700000001"
791,"33.817508000000004,-118.18920800000001"
792,"33.967845000000004,-117.915255"
793,"34.072748,-117.78439399999999"
794,"34.139358,-118.471048"
795,"34.042846999999995,-118.27288600000001"
796,"34.172117,-118.46771000000001"
797,"34.186639,-118.473991"
798,"34.031566,-118.41336100000001"
799,"34.108675,-118.249425"
800,"33.814208,-118.173134"
801,"33.945461,-118.30463700000001"
802,"34.154858000000004,-118.31086499999999"
803,"34.112285,-118.265603"
804,"34.022215,-118.277704"
805,"34.031896,-118.41706599999999"
806,"33.984771,-118.24533100000001"
807,"34.072786,-118.466447"
808,"34.040797,-118.074381"
809,"34.023863,-117.764219"
810,"33.916684000000004,-118.178393"
811,"34.365210999999995,-118.503634"
812,"34.077319,-118.469945"
813,"34.022701,-118.17393899999999"
814,"33.997523,-117.947973"
815,"34.046958000000004,-118.446773"
816,"33.997429,-117.946584"
817,"34.031121999999996,-118.25998899999999"
818,"34.01522,-117.994519"
819,"34.000778000000004,-117.871677"
820,"34.033885,-117.987545"
821,"33.872972,-118.28478600000001"
822,"33.858358,-118.096011"
823,"33.927917,-118.25428000000001"
824,"33.845974,-118.092254"
825,"34.147911,-118.081926"
826,"33.949675,-118.170308"
827,"34.017165000000006,-118.175362"
828,"33.960014,-118.280502"
829,"34.057966,-117.785647"
830,"33.912321,-118.286373"
831,"34.229906,-118.402973"
832,"33.910967,-118.16896499999999"
833,"33.912908,-118.140823"
834,"34.035528,-118.16987900000001"
835,"34.310666,-118.486575"
836,"33.873477,-118.193472"
